Election Year,Total Votes,Municipality,PA Senate Candidate,PA Senate Candidate Party,PA Senate District Prop,PA Senate Office Prop,PA Senate Office Votes,PA Senate Precinct Prop,PA Senate Precinct Votes,POTUS Candidate,POTUS Candidate Party,POTUS District Prop,POTUS Office Prop,POTUS Office Votes,POTUS Precinct Prop,POTUS Precinct Votes,Precinct,Total Turnout,US Senate Candidate,US Senate Candidate Party,US Senate District Prop,US Senate Office Prop,US Senate Office Votes,US Senate Precinct Prop,US Senate Precinct Votes,GEOID
2012,115,Adamsburg Borough,Ronald M Gazze,I,7.5,13.04,13946,7.5,6,Mitt Romney,R,68.35,61.29,103932,68.35,54,Adamsburg Borough,68.7,Tom Smith,R,65.38,56.78,95218,65.38,51,4212910
2012,115,Adamsburg Borough,Ronald M Gazze,I,7.5,13.04,13946,7.5,6,Mitt Romney,R,68.35,61.29,103932,68.35,54,Adamsburg Borough,68.7,Bob Casey Jr,D,34.62,41.4,69431,34.62,27,4212910
2012,115,Adamsburg Borough,Ronald M Gazze,I,7.5,13.04,13946,7.5,6,Mitt Romney,R,68.35,61.29,103932,68.35,54,Adamsburg Borough,68.7,Rayburn Douglas Smith,L,0,1.82,3060,0,0,4212910
2012,115,Adamsburg Borough,Ronald M Gazze,I,7.5,13.04,13946,7.5,6,Barack Obama,D,30.38,37.58,63722,30.38,24,Adamsburg Borough,68.7,Tom Smith,R,65.38,56.78,95218,65.38,51,4212910
2012,115,Adamsburg Borough,Ronald M Gazze,I,7.5,13.04,13946,7.5,6,Barack Obama,D,30.38,37.58,63722,30.38,24,Adamsburg Borough,68.7,Bob Casey Jr,D,34.62,41.4,69431,34.62,27,4212910
2012,115,Adamsburg Borough,Ronald M Gazze,I,7.5,13.04,13946,7.5,6,Barack Obama,D,30.38,37.58,63722,30.38,24,Adamsburg Borough,68.7,Rayburn Douglas Smith,L,0,1.82,3060,0,0,4212910
2012,115,Adamsburg Borough,Ronald M Gazze,I,7.5,13.04,13946,7.5,6,Gary Johnson,L,1.27,0.84,1426,1.27,1,Adamsburg Borough,68.7,Tom Smith,R,65.38,56.78,95218,65.38,51,4212910
2012,115,Adamsburg Borough,Ronald M Gazze,I,7.5,13.04,13946,7.5,6,Gary Johnson,L,1.27,0.84,1426,1.27,1,Adamsburg Borough,68.7,Bob Casey Jr,D,34.62,41.4,69431,34.62,27,4212910
2012,115,Adamsburg Borough,Ronald M Gazze,I,7.5,13.04,13946,7.5,6,Gary Johnson,L,1.27,0.84,1426,1.27,1,Adamsburg Borough,68.7,Rayburn Douglas Smith,L,0,1.82,3060,0,0,4212910
2012,115,Adamsburg Borough,Ronald M Gazze,I,7.5,13.04,13946,7.5,6,Jill Stein,G,0,0.29,492,0,0,Adamsburg Borough,68.7,Tom Smith,R,65.38,56.78,95218,65.38,51,4212910
2012,115,Adamsburg Borough,Ronald M Gazze,I,7.5,13.04,13946,7.5,6,Jill Stein,G,0,0.29,492,0,0,Adamsburg Borough,68.7,Bob Casey Jr,D,34.62,41.4,69431,34.62,27,4212910
2012,115,Adamsburg Borough,Ronald M Gazze,I,7.5,13.04,13946,7.5,6,Jill Stein,G,0,0.29,492,0,0,Adamsburg Borough,68.7,Rayburn Douglas Smith,L,0,1.82,3060,0,0,4212910
2012,115,Adamsburg Borough,Kim L Ward,R,92.5,86.96,92984,92.5,74,Mitt Romney,R,68.35,61.29,103932,68.35,54,Adamsburg Borough,68.7,Tom Smith,R,65.38,56.78,95218,65.38,51,4212910
2012,115,Adamsburg Borough,Kim L Ward,R,92.5,86.96,92984,92.5,74,Mitt Romney,R,68.35,61.29,103932,68.35,54,Adamsburg Borough,68.7,Bob Casey Jr,D,34.62,41.4,69431,34.62,27,4212910
